House_ID,Area_sqft,Number_of_Rooms,Family_Members,Adults,Children,Senior_Citizens,Work_From_Home,AC_Usage_Hours,Fan_Usage_Hours,Refrigerator_Hours,TV_Hours,Laptop_Hours,Lighting_Hours_Per_Room,Washing_Machine_Usage,Water_Motor_Hours,Microwave_Usage_Hours,Geyser_Usage_Hours,EV_Charging,Solar_Panel,Battery_Backup,Outdoor_Temperature,Humidity,Month,Is_Weekend,Is_Holiday,Peak_Hour_Usage,Electricity_Rate,Daily_Electricity_Consumption_kWh,House_Type_Independent House,House_Type_Villa,Season_Spring,Season_Summer,Season_Winter,Day_of_Week_Monday,Day_of_Week_Saturday,Day_of_Week_Sunday,Day_of_Week_Thursday,Day_of_Week_Tuesday,Day_of_Week_Wednesday,Total_Appliance_Hours,Power_Usage_Index,Appliance_Density,Weather_Severity_Index,Occupancy_Score,Appliance_Load_Score,Peak_Load_Interaction,Temperature_Category_Extreme,Temperature_Category_Hot,Temperature_Category_Mild,Temperature_Category_Warm,Lifestyle_Category_Small_Household,Lifestyle_Category_Standard_Household,Lifestyle_Category_WFH_Large_Family,Lifestyle_Category_WFH_Small_Household
H00001,678,2,4,3,1,0,1,6.17,4.97,24,6.58,8.66,5.87,0,0.75,0.09,0.89,0,0,0,41.0,46.4,6,0,0,0,21.32,15.19,0,0,0,1,0,0,0,0,0,1,0,28.11,13.255849999999999,41.46017699115044,13.659999999999998,5.2,6,0.0,1,0,0,0,0,0,1,0
H00002,975,2,4,2,2,0,0,0.0,9.13,24,6.51,1.63,4.89,1,0.68,0.16,0.78,0,0,1,20.4,48.9,8,1,0,0,23.42,7.17,0,0,0,0,0,0,0,1,0,0,0,18.89,3.69555,19.374358974358973,1.230000000000001,4.8,4,0.0,0,0,1,0,0,1,0,0
H00003,1626,4,2,1,0,1,1,1.4,4.32,24,5.79,6.98,8.18,0,1.11,0.24,1.47,0,1,0,10.9,70.5,12,1,0,0,19.31,8.79,1,0,0,0,1,0,0,1,0,0,0,21.31,7.4823,13.105781057810578,9.82,3.0,6,0.0,0,0,0,0,0,0,0,1
H00004,2512,7,3,2,1,0,0,1.21,4.35,24,2.77,4.6,7.12,0,0.99,0.44,0.43,0,0,1,26.7,55.3,7,0,0,1,26.12,9.96,1,0,0,0,0,1,0,0,0,0,0,14.79,4.82475,5.887738853503185,3.819999999999999,3.0,6,1.64,0,0,0,1,0,1,0,0
H00005,849,2,5,3,2,0,0,4.88,9.85,24,2.01,2.55,10.99,1,0.24,0.3,0.32,0,0,1,37.1,61.8,5,0,0,0,29.39,13.65,0,0,0,1,0,1,0,0,0,0,0,20.150000000000002,9.59275,23.733804475853947,11.75,5.0,7,0.0,0,1,0,0,0,0,0,0
H00006,2225,6,3,3,0,0,0,3.88,10.93,24,5.77,4.79,7.45,0,1.02,0.14,0.49,0,0,1,35.4,56.2,4,0,0,0,20.84,13.53,0,1,0,1,0,0,0,0,0,1,0,27.019999999999996,9.41715,12.143820224719098,10.0,3.0,6,0.0,0,1,0,0,0,1,0,0
H00007,2565,7,3,1,1,1,1,5.79,11.55,24,5.53,6.53,9.04,1,1.53,0.47,0.0,1,1,0,39.6,46.0,5,0,0,0,25.51,19.4,0,1,0,1,0,0,0,0,0,0,0,31.400000000000002,12.207550000000001,12.241715399610136,12.72,3.9000000000000004,8,0.0,0,1,0,0,0,0,0,1
H00008,897,3,5,3,2,0,0,0.0,6.68,24,4.77,5.2,8.9,1,1.93,0.09,0.99,0,0,0,11.3,42.8,12,0,0,1,18.79,9.4,0,0,0,0,1,0,0,0,0,0,1,19.659999999999997,4.8255,21.917502787068,8.209999999999999,5.0,4,0.99,0,0,0,0,0,0,0,0
H00009,2565,7,3,1,2,0,0,0.14,7.26,24,5.84,3.83,6.23,1,1.23,0.13,1.14,0,0,0,13.8,65.7,1,0,0,0,23.68,10.75,0,1,0,0,1,0,0,0,0,0,1,19.57,4.9268,7.62962962962963,7.31,3.0,7,0.0,0,0,0,0,0,1,0,0
H00010,1507,4,1,1,0,0,0,0.0,6.16,24,5.78,0.2,7.03,0,0.39,0.17,0.87,0,0,0,11.7,51.4,12,0,0,0,19.81,6.9,1,0,0,0,1,0,0,0,0,0,1,13.57,3.2885,9.004644990046451,7.35,1.0,3,0.0,0,0,0,0,1,0,0,0
