House_ID,House_Type,Area_sqft,Number_of_Rooms,Family_Members,Adults,Children,Senior_Citizens,Work_From_Home,AC_Usage_Hours,Fan_Usage_Hours,Refrigerator_Hours,TV_Hours,Laptop_Hours,Lighting_Hours_Per_Room,Washing_Machine_Usage,Water_Motor_Hours,Microwave_Usage_Hours,Geyser_Usage_Hours,EV_Charging,Solar_Panel,Battery_Backup,Outdoor_Temperature,Humidity,Season,Month,Day_of_Week,Is_Weekend,Is_Holiday,Peak_Hour_Usage,Electricity_Rate,Daily_Electricity_Consumption_kWh
H00001,Apartment,678,2,4,3,1,0,1,6.17,4.97,24,6.58,8.66,5.87,0,0.75,0.09,0.89,0,0,0,41.0,46.4,Summer,6,Tuesday,0,0,0,21.32,15.19
H00002,Apartment,975,2,4,2,2,0,0,0.0,9.13,24,6.51,1.63,4.89,1,0.68,0.16,0.78,0,0,1,20.4,48.9,Autumn,8,Sunday,1,0,0,23.42,7.17
H00003,Independent House,1626,4,2,1,0,1,1,1.4,4.32,24,5.79,6.98,8.18,0,1.11,0.24,1.47,0,1,0,10.9,70.5,Winter,12,Sunday,1,0,0,19.31,8.79
H00004,Independent House,2512,7,3,2,1,0,0,1.21,4.35,24,2.77,4.6,7.12,0,0.99,0.44,0.43,0,0,1,26.7,55.3,Autumn,7,Monday,0,0,1,26.12,9.96
H00005,Apartment,849,2,5,3,2,0,0,4.88,9.85,24,2.01,2.55,10.99,1,0.24,0.3,0.32,0,0,1,37.1,61.8,Summer,5,Monday,0,0,0,29.39,13.65
H00006,Villa,2225,6,3,3,0,0,0,3.88,10.93,24,5.77,4.79,7.45,0,1.02,0.14,0.49,0,0,1,35.4,56.2,Summer,4,Tuesday,0,0,0,20.84,13.53
H00007,Villa,3322,9,3,1,1,1,1,5.79,11.55,24,5.53,6.53,9.04,1,1.53,0.47,0.0,1,1,0,39.6,46.0,Summer,5,Friday,0,0,0,25.51,19.4
H00008,Apartment,897,3,5,3,2,0,0,0.0,6.68,24,4.77,5.2,8.9,1,1.93,0.09,0.99,0,0,0,11.3,42.8,Winter,12,Wednesday,0,0,1,18.79,9.4
H00009,Villa,3037,8,3,1,2,0,0,0.14,7.26,24,5.84,3.83,6.23,1,1.23,0.13,1.14,0,0,0,13.8,65.7,Winter,1,Wednesday,0,0,0,23.68,10.75
H00010,Independent House,1507,4,1,1,0,0,0,0.0,6.16,24,5.78,0.2,7.03,0,0.39,0.17,0.87,0,0,0,11.7,51.4,Winter,12,Wednesday,0,0,0,19.81,6.9
H00011,Apartment,1329,3,5,3,2,0,0,6.88,7.32,24,4.04,3.25,7.9,1,1.67,0.49,0.45,0,0,0,38.6,62.6,Summer,5,Tuesday,0,1,0,26.95,18.17
H00012,Apartment,1274,3,3,2,1,0,0,8.3,10.43,24,4.4,3.7,9.2,1,1.47,0.14,0.38,0,0,0,38.0,66.3,Summer,6,Friday,0,0,0,23.5,21.22
H00013,Apartment,791,2,2,1,1,0,1,0.56,8.44,24,7.9,7.02,7.59,1,0.79,0.22,0.6,1,0,0,22.7,45.7,Autumn,10,Saturday,1,0,1,23.83,15.52
H00014,Independent House,1966,5,3,3,0,0,0,4.78,8.23,24,6.01,5.08,4.75,0,0.98,0.47,0.62,0,0,0,37.3,67.8,Summer,4,Monday,0,0,0,19.9,14.71
H00015,Apartment,838,2,4,2,2,0,0,0.67,8.51,24,2.33,4.15,7.88,1,1.86,0.16,0.0,0,0,0,28.1,55.7,Autumn,9,Tuesday,0,0,0,20.95,7.1
H00016,Independent House,1756,5,3,1,2,0,0,3.49,6.27,24,5.63,4.06,7.04,1,1.15,0.27,0.41,0,0,0,24.2,42.3,Autumn,9,Sunday,1,0,1,19.89,12.56
H00017,Independent House,1289,4,2,1,1,0,0,1.2,7.58,24,4.52,4.35,8.93,0,1.79,0.23,0.0,1,0,1,22.2,26.3,Autumn,10,Thursday,0,0,0,26.06,14.55
H00018,Apartment,780,2,3,1,1,1,0,3.19,7.22,24,2.67,2.47,7.94,0,1.45,0.0,0.19,0,0,1,33.9,45.4,Summer,5,Friday,0,0,0,23.24,10.91
H00019,Apartment,1019,3,3,2,1,0,0,1.67,7.66,24,1.46,4.93,8.41,1,1.43,0.39,0.0,0,0,0,26.1,68.0,Spring,2,Thursday,0,0,0,25.62,10.21
H00020,Apartment,680,2,4,1,2,1,0,0.0,6.34,24,4.15,0.3,8.01,1,1.22,0.2,0.39,0,1,0,23.6,46.6,Spring,2,Friday,0,0,1,24.55,4.24
H00021,Apartment,845,3,2,2,0,0,0,4.46,5.68,24,3.05,3.68,5.99,0,1.79,0.33,0.33,0,0,0,30.1,62.1,Spring,3,Sunday,1,0,0,19.37,12.89
H00022,Independent House,1620,5,3,1,2,0,0,6.14,9.21,24,3.47,0.06,8.64,0,1.27,0.3,0.48,0,0,0,38.0,30.4,Summer,4,Tuesday,0,0,1,16.76,19.43
H00023,Apartment,1028,3,2,2,0,0,1,0.0,8.01,24,3.79,7.73,5.03,1,0.84,0.67,0.29,1,0,1,14.8,42.1,Winter,11,Wednesday,0,0,0,18.9,13.94
H00024,Apartment,918,3,4,1,2,1,0,1.99,8.82,24,6.13,4.96,10.82,1,1.0,0.41,1.18,0,0,0,28.0,35.6,Spring,3,Friday,0,0,0,24.06,11.27
H00025,Apartment,442,2,5,3,2,0,0,0.0,7.94,24,3.41,4.07,8.16,1,1.03,0.42,0.81,0,0,0,21.4,48.1,Autumn,7,Wednesday,0,0,1,20.67,8.37
H00026,Apartment,1102,3,3,2,1,0,0,3.48,5.39,24,4.53,3.79,6.54,0,1.85,0.25,0.11,0,0,1,26.3,58.2,Autumn,7,Sunday,1,0,0,18.3,10.82
H00027,Independent House,1293,4,3,1,2,0,0,0.0,2.99,24,5.27,1.79,7.22,0,0.0,0.29,0.91,0,0,0,12.1,74.1,Winter,11,Saturday,1,0,1,24.09,6.72
H00028,Apartment,679,1,2,1,1,0,0,6.81,3.42,24,2.55,1.38,4.95,0,1.3,0.09,0.0,0,0,0,33.7,38.4,Spring,3,Saturday,1,0,1,23.46,13.6
H00029,Apartment,759,2,3,3,0,0,1,0.92,7.58,24,5.96,7.99,8.14,0,1.37,0.43,0.51,0,0,1,25.6,29.6,Spring,3,Saturday,1,0,0,22.79,9.13
H00030,Apartment,766,3,3,2,0,1,0,1.54,11.06,24,4.46,1.68,5.87,1,1.09,0.47,0.76,0,0,1,29.1,56.3,Autumn,7,Monday,0,0,0,19.72,10.2
H00031,Apartment,788,2,4,2,2,0,0,1.84,7.19,24,1.24,3.2,8.46,1,0.89,0.09,0.0,0,0,0,22.1,52.6,Autumn,9,Friday,0,0,0,17.94,8.27
H00032,Independent House,1682,4,3,1,1,1,0,2.54,4.63,24,2.59,6.93,8.92,1,0.9,0.4,0.7,0,0,1,20.2,35.1,Autumn,9,Tuesday,0,0,1,24.07,12.88
H00033,Independent House,1503,4,3,2,0,1,0,6.05,5.77,24,5.15,2.25,8.36,0,1.88,0.25,0.84,0,0,0,26.2,36.2,Autumn,10,Sunday,1,1,0,13.86,18.51
H00034,Apartment,890,2,3,3,0,0,0,1.67,6.49,24,5.19,2.45,6.68,1,0.0,0.23,0.88,0,0,0,22.0,63.8,Spring,2,Monday,0,0,0,,8.7
H00035,Apartment,513,2,1,1,0,0,0,1.07,9.53,24,6.45,0.65,6.11,0,0.89,0.22,0.05,0,1,1,26.0,89.6,Autumn,7,Sunday,1,1,1,25.57,5.19
H00036,Independent House,1250,4,4,3,1,0,1,0.0,5.29,24,4.71,7.39,8.92,1,1.1,0.16,0.0,0,0,0,23.6,71.9,Autumn,9,Monday,0,0,0,23.65,7.14
H00037,Independent House,1809,6,5,2,2,1,1,1.66,6.39,24,4.78,8.4,7.94,1,1.72,0.29,0.39,0,0,0,26.6,45.4,Autumn,8,Wednesday,0,0,0,21.54,12.38
H00038,Apartment,521,1,4,2,2,0,1,0.78,4.75,24,6.34,8.91,7.12,0,1.18,0.21,1.76,0,0,0,16.3,65.2,Winter,12,Thursday,0,0,0,25.41,9.72
H00039,Apartment,877,2,3,1,2,0,0,6.57,12.63,24,4.46,2.31,8.4,1,1.45,0.56,1.31,0,0,0,41.5,27.3,Summer,4,Saturday,1,0,0,17.03,20.89
H00040,Apartment,404,2,4,2,2,0,0,0.67,6.09,24,2.49,5.45,5.98,1,2.18,0.28,0.0,0,0,1,25.1,31.3,Autumn,7,Monday,0,0,1,24.71,7.86
H00041,Villa,2490,8,2,1,1,0,0,5.83,10.28,24,0.91,2.87,5.7,0,1.11,0.19,0.38,0,0,0,39.3,51.7,Summer,6,Thursday,0,0,0,18.81,16.52
H00042,Independent House,1518,5,4,2,1,1,0,5.51,6.22,24,6.16,4.02,7.18,1,0.96,0.15,0.09,0,0,0,28.0,58.0,Autumn,7,Wednesday,0,0,0,27.18,15.82
H00043,Villa,3107,8,4,2,2,0,1,0.0,8.77,24,8.39,7.48,10.53,1,2.5,0.36,0.97,0,0,0,10.9,72.0,Winter,1,Saturday,1,1,1,20.88,13.01
H00044,Apartment,590,2,4,2,2,0,0,1.67,5.44,24,7.97,6.43,7.13,1,1.34,0.17,0.0,0,0,0,25.7,44.0,Spring,2,Sunday,1,0,0,17.14,9.49
H00045,Apartment,870,3,2,2,0,0,0,0.0,5.36,24,5.85,3.81,7.37,1,1.05,0.36,0.87,0,0,1,8.1,49.8,Winter,11,Thursday,0,0,0,20.35,7.9
H00046,Villa,1801,6,2,2,0,0,0,0.0,13.0,24,2.31,3.85,5.31,1,1.52,0.21,1.07,0,0,0,25.6,71.3,Spring,2,Monday,0,0,1,21.91,10.26
H00047,Independent House,1520,4,4,1,2,1,1,6.57,10.54,24,7.16,8.29,8.69,1,1.79,0.12,0.54,0,0,1,39.3,70.1,Summer,5,Monday,0,0,0,24.1,19.0
H00048,Apartment,903,2,3,3,0,0,0,1.63,9.07,24,1.02,2.46,7.53,1,1.76,0.09,0.34,0,0,0,14.5,44.5,Winter,1,Wednesday,0,0,1,24.04,9.22
H00049,Villa,2706,8,2,2,0,0,0,0.6,9.03,24,4.29,2.34,4.34,0,1.48,0.15,1.04,0,0,0,15.7,26.3,Winter,11,Friday,0,0,0,18.0,9.55
H00050,Independent House,1326,4,5,3,2,0,0,6.1,7.78,24,6.87,4.36,6.45,1,1.39,0.4,0.48,0,0,0,39.7,72.4,Summer,5,Saturday,1,0,0,21.27,16.5
H00051,Apartment,884,2,5,3,2,0,0,5.19,5.27,24,6.41,6.48,8.05,1,1.35,0.22,0.0,0,0,1,24.4,53.7,Autumn,10,Monday,0,0,0,23.69,13.43
H00052,Apartment,758,3,3,1,2,0,0,0.0,4.0,24,3.71,3.65,8.74,0,0.3,0.32,0.45,0,0,0,23.3,31.9,Autumn,8,Tuesday,0,0,0,25.75,5.94
H00053,Apartment,896,2,2,2,0,0,1,0.0,6.85,24,4.88,6.71,10.42,0,0.86,0.12,0.39,0,0,1,13.2,51.5,Winter,1,Monday,0,0,0,18.43,6.32
H00054,Independent House,902,3,3,3,0,0,1,1.75,9.34,24,6.61,5.83,8.24,0,0.75,0.31,0.37,0,0,1,26.8,59.8,Spring,3,Saturday,1,0,1,21.92,9.94
